ROW, FILEPATH, SLURM_ARRAY_TASK_ID
3403, /srv/beegfs/scratch/shares/cdff/DPM/Processing/STACK_phase_only_rma/SS.10358/SS.10358_SS.17455.h5, 34
15004, /srv/beegfs/scratch/shares/cdff/DPM/Processing/STACK_phase_only_rma/SS.10524/SS.10524_SS.14837.h5, 150
5703, /srv/beegfs/scratch/shares/cdff/DPM/Processing/STACK_phase_only_rma/SS.10586/SS.10586_SS.10778.h5, 57
6604, /srv/beegfs/scratch/shares/cdff/DPM/Processing/STACK_phase_only_rma/SS.09220/SS.09220_SS.10857.h5, 66
6203, /srv/beegfs/scratch/shares/cdff/DPM/Processing/STACK_phase_only_rma/SS.10691/SS.10691_SS.18940.h5, 62
6303, /srv/beegfs/scratch/shares/cdff/DPM/Processing/STACK_phase_only_rma/SS.10591/SS.10591_SS.10899.h5, 63
19503, /srv/beegfs/scratch/shares/cdff/DPM/Processing/STACK_phase_only_rma/SS.10386/SS.10386_SS.17929.h5, 195
20103, /srv/beegfs/scratch/shares/cdff/DPM/Processing/STACK_phase_only_rma/SS.04275/SS.04275_SS.05338.h5, 201
10305, /srv/beegfs/scratch/shares/cdff/DPM/Processing/STACK_phase_only_rma/SS.08936/SS.08936_SS.10753.h5, 103
18105, /srv/beegfs/scratch/shares/cdff/DPM/Processing/STACK_phase_only_rma/SS.10202/SS.10202_SS.18365.h5, 181
405, /srv/beegfs/scratch/shares/cdff/DPM/Processing/STACK_phase_only_rma/SS.10706/SS.10706_SS.14768.h5, 4
17004, /srv/beegfs/scratch/shares/cdff/DPM/Processing/STACK_phase_only_rma/SS.09508/SS.09508_SS.18539.h5, 170
16904, /srv/beegfs/scratch/shares/cdff/DPM/Processing/STACK_phase_only_rma/SS.09508/SS.09508_SS.10721.h5, 169
11505, /srv/beegfs/scratch/shares/cdff/DPM/Processing/STACK_phase_only_rma/SS.15248/SS.15248_SS.17223.h5, 115
12405, /srv/beegfs/scratch/shares/cdff/DPM/Processing/STACK_phase_only_rma/SS.14565/SS.14565_SS.15604.h5, 124
14705, /srv/beegfs/scratch/shares/cdff/DPM/Processing/STACK_phase_only_rma/SS.10222/SS.10222_SS.16684.h5, 147
13505, /srv/beegfs/scratch/shares/cdff/DPM/Processing/STACK_phase_only_rma/SS.10277/SS.10277_SS.10399.h5, 135
10605, /srv/beegfs/scratch/shares/cdff/DPM/Processing/STACK_phase_only_rma/SS.17227/SS.17227_SS.18895.h5, 106
7505, /srv/beegfs/scratch/shares/cdff/DPM/Processing/STACK_phase_only_rma/SS.15678/SS.15678_SS.18411.h5, 75
9603, /srv/beegfs/scratch/shares/cdff/DPM/Processing/STACK_phase_only_rma/SS.16707/SS.16707_SS.18739.h5, 96
8403, /srv/beegfs/scratch/shares/cdff/DPM/Processing/STACK_phase_only_rma/SS.10430/SS.10430_SS.10845.h5, 84
15205, /srv/beegfs/scratch/shares/cdff/DPM/Processing/STACK_phase_only_rma/SS.15249/SS.15249_SS.16980.h5, 152
15405, /srv/beegfs/scratch/shares/cdff/DPM/Processing/STACK_phase_only_rma/SS.09410/SS.09410_SS.16878.h5, 154
804, /srv/beegfs/scratch/shares/cdff/DPM/Processing/STACK_phase_only_rma/SS.04973/SS.04973_SS.18042.h5, 8
11105, /srv/beegfs/scratch/shares/cdff/DPM/Processing/STACK_phase_only_rma/SS.10913/SS.10913_SS.14753.h5, 111
4604, /srv/beegfs/scratch/shares/cdff/DPM/Processing/STACK_phase_only_rma/SS.10368/SS.10368_SS.15869.h5, 46
4004, /srv/beegfs/scratch/shares/cdff/DPM/Processing/STACK_phase_only_rma/SS.10763/SS.10763_SS.14768.h5, 40
1504, /srv/beegfs/scratch/shares/cdff/DPM/Processing/STACK_phase_only_rma/SS.06585/SS.06585_SS.10916.h5, 15
19404, /srv/beegfs/scratch/shares/cdff/DPM/Processing/STACK_phase_only_rma/SS.10386/SS.10386_SS.17130.h5, 194
5504, /srv/beegfs/scratch/shares/cdff/DPM/Processing/STACK_phase_only_rma/SS.14457/SS.14457_SS.17456.h5, 55
3004, /srv/beegfs/scratch/shares/cdff/DPM/Processing/STACK_phase_only_rma/SS.10737/SS.10737_SS.15249.h5, 30
19304, /srv/beegfs/scratch/shares/cdff/DPM/Processing/STACK_phase_only_rma/SS.10197/SS.10197_SS.15367.h5, 193
2105, /srv/beegfs/scratch/shares/cdff/DPM/Processing/STACK_phase_only_rma/SS.15729/SS.15729_SS.17018.h5, 21
2904, /srv/beegfs/scratch/shares/cdff/DPM/Processing/STACK_phase_only_rma/SS.15604/SS.15604_SS.17455.h5, 29
5204, /srv/beegfs/scratch/shares/cdff/DPM/Processing/STACK_phase_only_rma/SS.14648/SS.14648_SS.16870.h5, 52
11506, /srv/beegfs/scratch/shares/cdff/DPM/Processing/STACK_phase_only_rma/SS.15248/SS.15248_SS.16707.h5, 115
19204, /srv/beegfs/scratch/shares/cdff/DPM/Processing/STACK_phase_only_rma/SS.10454/SS.10454_SS.10753.h5, 192
13706, /srv/beegfs/scratch/shares/cdff/DPM/Processing/STACK_phase_only_rma/SS.09275/SS.09275_SS.10358.h5, 137
13906, /srv/beegfs/scratch/shares/cdff/DPM/Processing/STACK_phase_only_rma/SS.10399/SS.10399_SS.18011.h5, 139
21006, /srv/beegfs/scratch/shares/cdff/DPM/Processing/STACK_phase_only_rma/SS.04548/SS.04548_SS.17853.h5, 210
13506, /srv/beegfs/scratch/shares/cdff/DPM/Processing/STACK_phase_only_rma/SS.10277/SS.10277_SS.17929.h5, 135
12906, /srv/beegfs/scratch/shares/cdff/DPM/Processing/STACK_phase_only_rma/SS.04909/SS.04909_SS.06585.h5, 129
10906, /srv/beegfs/scratch/shares/cdff/DPM/Processing/STACK_phase_only_rma/SS.09501/SS.09501_SS.17683.h5, 109
12106, /srv/beegfs/scratch/shares/cdff/DPM/Processing/STACK_phase_only_rma/SS.10813/SS.10813_SS.14565.h5, 121
12006, /srv/beegfs/scratch/shares/cdff/DPM/Processing/STACK_phase_only_rma/SS.09309/SS.09309_SS.17724.h5, 120
17205, /srv/beegfs/scratch/shares/cdff/DPM/Processing/STACK_phase_only_rma/SS.10891/SS.10891_SS.14837.h5, 172
16705, /srv/beegfs/scratch/shares/cdff/DPM/Processing/STACK_phase_only_rma/SS.10252/SS.10252_SS.16598.h5, 167
14606, /srv/beegfs/scratch/shares/cdff/DPM/Processing/STACK_phase_only_rma/SS.10705/SS.10705_SS.10778.h5, 146
106, /srv/beegfs/scratch/shares/cdff/DPM/Processing/STACK_phase_only_rma/SS.07499/SS.07499_SS.10867.h5, 1
12706, /srv/beegfs/scratch/shares/cdff/DPM/Processing/STACK_phase_only_rma/SS.04909/SS.04909_SS.14625.h5, 127
16605, /srv/beegfs/scratch/shares/cdff/DPM/Processing/STACK_phase_only_rma/SS.05322/SS.05322_SS.17223.h5, 166
17505, /srv/beegfs/scratch/shares/cdff/DPM/Processing/STACK_phase_only_rma/SS.10485/SS.10485_SS.17130.h5, 175
17105, /srv/beegfs/scratch/shares/cdff/DPM/Processing/STACK_phase_only_rma/SS.14938/SS.14938_SS.16006.h5, 171
18207, /srv/beegfs/scratch/shares/cdff/DPM/Processing/STACK_phase_only_rma/SS.10202/SS.10202_SS.10916.h5, 182
4605, /srv/beegfs/scratch/shares/cdff/DPM/Processing/STACK_phase_only_rma/SS.10368/SS.10368_SS.15604.h5, 46
9904, /srv/beegfs/scratch/shares/cdff/DPM/Processing/STACK_phase_only_rma/SS.10188/SS.10188_SS.16598.h5, 99
13907, /srv/beegfs/scratch/shares/cdff/DPM/Processing/STACK_phase_only_rma/SS.10399/SS.10399_SS.10922.h5, 139
8204, /srv/beegfs/scratch/shares/cdff/DPM/Processing/STACK_phase_only_rma/SS.10901/SS.10901_SS.17227.h5, 82
10707, /srv/beegfs/scratch/shares/cdff/DPM/Processing/STACK_phase_only_rma/SS.10230/SS.10230_SS.16878.h5, 107
505, /srv/beegfs/scratch/shares/cdff/DPM/Processing/STACK_phase_only_rma/SS.16507/SS.16507_SS.18352.h5, 5
2106, /srv/beegfs/scratch/shares/cdff/DPM/Processing/STACK_phase_only_rma/SS.15729/SS.15729_SS.18352.h5, 21
19704, /srv/beegfs/scratch/shares/cdff/DPM/Processing/STACK_phase_only_rma/SS.10893/SS.10893_SS.14764.h5, 197
12007, /srv/beegfs/scratch/shares/cdff/DPM/Processing/STACK_phase_only_rma/SS.09309/SS.09309_SS.14599.h5, 120
17907, /srv/beegfs/scratch/shares/cdff/DPM/Processing/STACK_phase_only_rma/SS.17544/SS.17544_SS.18011.h5, 179
10507, /srv/beegfs/scratch/shares/cdff/DPM/Processing/STACK_phase_only_rma/SS.14537/SS.14537_SS.14599.h5, 105
2805, /srv/beegfs/scratch/shares/cdff/DPM/Processing/STACK_phase_only_rma/SS.10857/SS.10857_SS.17952.h5, 28
5105, /srv/beegfs/scratch/shares/cdff/DPM/Processing/STACK_phase_only_rma/SS.09304/SS.09304_SS.10524.h5, 51
7007, /srv/beegfs/scratch/shares/cdff/DPM/Processing/STACK_phase_only_rma/SS.05230/SS.05230_SS.18739.h5, 70
4705, /srv/beegfs/scratch/shares/cdff/DPM/Processing/STACK_phase_only_rma/SS.15869/SS.15869_SS.17877.h5, 47
17006, /srv/beegfs/scratch/shares/cdff/DPM/Processing/STACK_phase_only_rma/SS.09508/SS.09508_SS.17544.h5, 170
4805, /srv/beegfs/scratch/shares/cdff/DPM/Processing/STACK_phase_only_rma/SS.14578/SS.14578_SS.17940.h5, 48
3305, /srv/beegfs/scratch/shares/cdff/DPM/Processing/STACK_phase_only_rma/SS.09629/SS.09629_SS.10913.h5, 33
17806, /srv/beegfs/scratch/shares/cdff/DPM/Processing/STACK_phase_only_rma/SS.15157/SS.15157_SS.20193.h5, 178
13407, /srv/beegfs/scratch/shares/cdff/DPM/Processing/STACK_phase_only_rma/SS.10177/SS.10177_SS.14764.h5, 134
18705, /srv/beegfs/scratch/shares/cdff/DPM/Processing/STACK_phase_only_rma/SS.09515/SS.09515_SS.15288.h5, 187
19905, /srv/beegfs/scratch/shares/cdff/DPM/Processing/STACK_phase_only_rma/SS.18157/SS.18157_SS.18365.h5, 199
18408, /srv/beegfs/scratch/shares/cdff/DPM/Processing/STACK_phase_only_rma/SS.10278/SS.10278_SS.18539.h5, 184
20808, /srv/beegfs/scratch/shares/cdff/DPM/Processing/STACK_phase_only_rma/SS.10899/SS.10899_SS.17877.h5, 208
15607, /srv/beegfs/scratch/shares/cdff/DPM/Processing/STACK_phase_only_rma/SS.10205/SS.10205_SS.16006.h5, 156
10808, /srv/beegfs/scratch/shares/cdff/DPM/Processing/STACK_phase_only_rma/SS.09501/SS.09501_SS.15729.h5, 108
16306, /srv/beegfs/scratch/shares/cdff/DPM/Processing/STACK_phase_only_rma/SS.15427/SS.15427_SS.18839.h5, 163
2006, /srv/beegfs/scratch/shares/cdff/DPM/Processing/STACK_phase_only_rma/SS.14768/SS.14768_SS.16980.h5, 20
15208, /srv/beegfs/scratch/shares/cdff/DPM/Processing/STACK_phase_only_rma/SS.15249/SS.15249_SS.16507.h5, 152
17007, /srv/beegfs/scratch/shares/cdff/DPM/Processing/STACK_phase_only_rma/SS.09508/SS.09508_SS.14712.h5, 170
15908, /srv/beegfs/scratch/shares/cdff/DPM/Processing/STACK_phase_only_rma/SS.10190/SS.10190_SS.15907.h5, 159
18109, /srv/beegfs/scratch/shares/cdff/DPM/Processing/STACK_phase_only_rma/SS.10202/SS.10202_SS.18463.h5, 181
4806, /srv/beegfs/scratch/shares/cdff/DPM/Processing/STACK_phase_only_rma/SS.14578/SS.14578_SS.17521.h5, 48
17607, /srv/beegfs/scratch/shares/cdff/DPM/Processing/STACK_phase_only_rma/SS.17940/SS.17940_SS.18352.h5, 176
9205, /srv/beegfs/scratch/shares/cdff/DPM/Processing/STACK_phase_only_rma/SS.10776/SS.10776_SS.14938.h5, 92
