,names,starttime,endtime
98,/srv/beegfs/scratch/shares/cdff/DPM/miniseed_corrected/SS.14461..DPN.453014461.2023.10.17.00.00.00.000.N.miniseed,1697500800.0,1697587200.0
99,/srv/beegfs/scratch/shares/cdff/DPM/miniseed_corrected/SS.18308..DPZ.453018308.2023.10.16.00.00.00.000.Z.miniseed,1697414400.0,1697500800.0
100,/srv/beegfs/scratch/shares/cdff/DPM/miniseed_corrected/SS.09548..DPN.453009548.2023.09.29.00.00.00.000.N.miniseed,1695945600.0,1696032000.0
101,/srv/beegfs/scratch/shares/cdff/DPM/miniseed_corrected/SS.18042..DPE.453018042.2023.10.23.00.00.00.000.E.miniseed,1698019200.0,1698105600.0
102,/srv/beegfs/scratch/shares/cdff/DPM/miniseed_corrected/SS.10776..DPN.453010776.2023.10.03.00.00.00.000.N.miniseed,1696291200.0,1696377600.0
103,/srv/beegfs/scratch/shares/cdff/DPM/miniseed_corrected/SS.16707..DPE.453016707.2023.10.10.00.00.00.000.E.miniseed,1696896000.0,1696982399.0
104,/srv/beegfs/scratch/shares/cdff/DPM/miniseed_corrected/SS.17024..DPZ.453017024.2023.10.23.00.00.00.000.Z.miniseed,1698019200.0,1698105600.0
105,/srv/beegfs/scratch/shares/cdff/DPM/miniseed_corrected/SS.10935..DPZ.453010935.2023.10.24.00.00.00.000.Z.miniseed,1698105600.0,1698192000.0
106,/srv/beegfs/scratch/shares/cdff/DPM/miniseed_corrected/SS.17723..DPE.453017723.2023.10.04.00.00.00.000.E.miniseed,1696377600.0,1696464000.0
107,/srv/beegfs/scratch/shares/cdff/DPM/miniseed_corrected/SS.09275..DPZ.453009275.2023.10.25.00.00.00.000.Z.miniseed,1698192000.0,1698278400.0
108,/srv/beegfs/scratch/shares/cdff/DPM/miniseed_corrected/SS.14565..DPN.453014565.2023.10.11.00.00.00.000.N.miniseed,1696982400.0,1697068800.0
109,/srv/beegfs/scratch/shares/cdff/DPM/miniseed_corrected/SS.10430..DPZ.453010430.2023.10.10.00.00.00.000.Z.miniseed,1696896000.0,1696982399.0
110,/srv/beegfs/scratch/shares/cdff/DPM/miniseed_corrected/SS.17940..DPN.453017940.2023.10.17.00.00.00.000.N.miniseed,1697500800.0,1697587200.0
111,/srv/beegfs/scratch/shares/cdff/DPM/miniseed_corrected/SS.03659..DPE.453003659.2023.10.16.00.00.00.000.E.miniseed,1697414400.0,1697500800.0
112,/srv/beegfs/scratch/shares/cdff/DPM/miniseed_corrected/SS.10275..DPZ.453010275.2023.10.01.00.00.00.000.Z.miniseed,1696118400.0,1696204800.0
113,/srv/beegfs/scratch/shares/cdff/DPM/miniseed_corrected/SS.17542..DPZ.453017542.2023.09.27.07.12.30.000.Z.miniseed,1695798750.0,1695859200.0
114,/srv/beegfs/scratch/shares/cdff/DPM/miniseed_corrected/SS.15576..DPN.453015576.2023.10.04.00.00.00.000.N.miniseed,1696377600.0,1696464000.0
115,/srv/beegfs/scratch/shares/cdff/DPM/miniseed_corrected/SS.10901..DPN.453010901.2023.10.22.00.00.00.000.N.miniseed,1697932800.0,1698019200.0
116,/srv/beegfs/scratch/shares/cdff/DPM/miniseed_corrected/SS.17542..DPE.453017542.2023.10.15.00.00.00.000.E.miniseed,1697328000.0,1697414400.0
